"Location";"Source"
"236931909-0-3";"Glenumbra Lore"
"236931909-0-5";"Stormhaven Lore"
"236931909-0-6";"Rivenspire Lore"
"236931909-0-7";"Bangkorai Lore"
"236931909-0-8";"Alik'r Desert Lore"
"236931909-0-9";"Shadowfen Lore"
"236931909-0-10";"The Trial of Eyevea"
"236931909-0-12";"Daedric Princes"
"236931909-0-13";"Biographies"
"236931909-0-14";"Divines and Deities"
"236931909-0-15";"Dungeon Lore"
"236931909-0-16";"Dwemer"
"236931909-0-17";"Legends of Nirn"
"236931909-0-18";"Literature"
"236931909-0-19";"Magic and Magicka"
"236931909-0-20";"Myths of the Mundus"
"236931909-0-21";"Oblivion Lore"
"236931909-0-22";"Poetry and Song"
"236931909-0-23";"Tamriel History"
"236931909-0-24";"Stonefalls Lore"
"236931909-0-26";"Malabal Tor Lore"
"236931909-0-27";"Eastmarch Lore"
"236931909-0-28";"Deshaan Lore"
"236931909-0-29";"The Rift Lore"
"236931909-0-30";"Auridon Lore"
"236931909-0-32";"Grahtwood Lore"
"236931909-0-38";"Greenshade Lore"
"236931909-0-39";"Reaper's March Lore"
"236931909-0-40";"Coldharbour Lore"
"236931909-0-43";"Crafting Books"
"236931909-0-44";"Craglorn Secrets"
"236931909-0-45";"Criminal Correspondence"
"236931909-0-46";"Daedric Cults"
"236931909-0-47";"Diaries and Logs"
"236931909-0-48";"Handbills, Posters, and Decrees"
"236931909-0-49";"Hearts and Flowers"
"236931909-0-50";"Houses, Shops, and Trade"
"236931909-0-51";"Letters and Missives"
"236931909-0-52";"Lore and Culture"
"236931909-0-53";"Military Orders and Reports"
"236931909-0-54";"Mysteries and Clues"
"236931909-0-55";"Notes and Memos"
"236931909-0-56";"Personal Journals"
"236931909-0-57";"Plots and Schemes"
"236931909-0-58";"Research Notes"
"236931909-0-59";"Rituals and Revelations"
"236931909-0-60";"Tales of Tamriel"
"236931909-0-61";"The Devoted and the Deranged"
"236931909-0-62";"The Five Companions"
"236931909-0-63";"The World and Its Creatures"
"236931909-0-64";"Words of the Poets"
"236931909-0-65";"Final Words"
"236931909-0-66";"Skill Books"
"236931909-0-67";"Lore of Murkmire"
"236931909-0-68";"Wrothgar Writings"
"236931909-0-69";"Imperial Library"
"236931909-0-74";"Dwemer Style"
"236931909-0-75";"Hidden Motif Books"
"236931909-0-77";"Akaviri Style"
"236931909-0-78";"Yokudan Style"
"236931909-0-79";"Glass Style"
"236931909-0-80";"Mercenary Style"
"236931909-0-81";"Xivkyn Style"
"236931909-0-84";"Ancient Orc Style"
"236931909-0-85";"Orsinium Archive"
"236931909-0-86";"Hew's Bane Bookshelf"
"236931909-0-87";"Gold Coast Tomes"
"236931909-0-88";"Outlaw Style"
"236931909-0-89";"Trinimac Style"
"236931909-0-90";"Malacath Style"
"236931909-0-91";"Morag Tong Style"
"236931909-0-92";"Aldmeri Dominion Style"
"236931909-0-93";"Daggerfall Covenant Style"
"236931909-0-94";"Ebonheart Pact Style"
"236931909-0-95";"Ra Gada Style"
"236931909-0-96";"Dro-m'Athra Style"
"236931909-0-97";"Ebony Style"
"236931909-0-99";"Assassins League Style"
"236931909-0-100";"Thieves Guild Style"
"236931909-0-101";"Abah's Watch Style"
"236931909-0-102";"Vvardenfell Volumes"
"236931909-0-103";"Vivec's 36 Lessons"
"236931909-0-104";"Library of Incunabula"
"236931909-0-105";"Draugr Style"
"236931909-0-106";"Minotaur Style"
"236931909-0-107";"Order Hour Style"
"236931909-0-108";"Celestial Style"
"236931909-0-109";"Hollowjack Style"
"236931909-0-110";"Dark Brotherhood Style"
"236931909-0-111";"Grim Harlequin Style"
"236931909-0-112";"Skinchanger Style"
"236931909-0-113";"Silken Ring Style"
"236931909-0-114";"Mazzatun Style"
"236931909-0-115";"Adventurer's Almanac"
"236931909-0-116";"House Telvanni Style"
"236931909-0-117";"Militant Ordinator Style"
"236931909-0-118";"Buoyant Armiger Style"
"236931909-0-119";"Ashlander Style"
"236931909-0-120";"Clockwork Mnemonix"
"236931909-0-121";"House Hlaalu Style"
"236931909-0-122";"House Redoran Style"
"236931909-0-124";"Refabricated Style"
"236931909-0-125";"Bloodforge Style"
"236931909-0-126";"Dreadhorn Style"
"236931909-0-127";"Apostle Style"
"236931909-0-128";"Ebonshadow Style"
"236931909-0-129";"Summerset Scrolls"
"236931909-0-130";"Worm Cult Style"
"236931909-0-131";"Fang Lair Style"
"236931909-0-132";"Scalecaller Style"
"236931909-0-133";"Psijic Style"
"236931909-0-134";"Sapiarch Style"
"236931909-0-136";"Moawita Memories"
"236931909-0-137";"Pyandonean Style"
"236931909-0-138";"Dremora Style"
"236931909-0-139";"Huntsman Style"
